Year,Snow_n,Tanner_n,Snow_101_n,Prib_BKC
2012,197794,27773,,
2013,172262,26412,,
2014,195257,20674,,
2015,159221,12794,,
2016,195444,10407,,
2017,291294,13302,,
2018,415383,18317,1938,19
2019,161295,16368,2146,25
2020,NA,NA,NA,NA
2021,40871,14304,904,28
2022,76273,14678,1000,11
