"SIZE_BIN","NO_CRAB"
90,6
91,8
92,7
93,6
94,6
95,8
96,3
97,7
98,8
99,6
100,10
101,12
102,14
103,5
104,7
105,8
106,6
107,5
108,5
109,7
110,9
111,6
112,13
113,5
114,9
115,9
116,4
117,7
118,7
119,5
120,6
121,7
122,2
123,6
124,5
125,8
126,2
127,3
128,1
129,3
130,4
131,6
132,2
133,5
134,5
135,7
136,2
137,3
138,3
139,3
140,6
141,4
142,4
143,1
144,6
145,5
146,2
147,2
148,1
149,4
150,2
151,6
153,1
155,3
157,2
158,1
159,4
162,2
164,3
